amount,category,date,description
120.50,1,2024-08-01,Groceries
35.20,1,2024-08-01,Snacks
85.75,2,2024-08-01,Movie
25.00,4,2024-08-01,Bus fare
60.10,1,2024-08-02,Breakfast
15.50,3,2024-08-02,Cleaning supplies
110.00,2,2024-08-02,Dinner
45.30,4,2024-08-02,Fuel
20.00,1,2024-08-03,Lunch items
75.80,2,2024-08-03,Drinks
30.00,4,2024-08-03,Parking
150.50,1,2024-08-04,Weekend groceries
200.00,2,2024-08-04,Activity
50.00,3,2024-08-04,Home repair
15.00,4,2024-08-04,Toll
90.25,1,2024-08-05,Weekly groceries
30.00,2,2024-08-05,Coffee
20.00,4,2024-08-05,Metro
60.50,1,2024-08-06,Lunch
40.00,2,2024-08-06,Snack
10.00,4,2024-08-06,Bus
70.80,1,2024-08-07,Dinner groceries
120.00,2,2024-08-07,Event ticket
35.00,4,2024-08-07,Fuel top-up
25.50,1,2024-08-08,Breakfast items
55.00,2,2024-08-08,Game
10.00,4,2024-08-08,Parking
180.00,1,2024-08-09,Weekend groceries
95.00,2,2024-08-09,Outing
25.00,3,2024-08-09,Gardening
20.00,4,2024-08-09,Toll
40.75,1,2024-08-10,Snacks
150.00,2,2024-08-10,Concert
65.00,4,2024-08-10,Ride share
80.00,1,2024-08-11,Weekly groceries
25.00,2,2024-08-11,Drink
15.00,4,2024-08-11,Metro
55.20,1,2024-08-12,Lunch
30.00,2,2024-08-12,Coffee
10.00,4,2024-08-12,Bus
70.00,1,2024-08-13,Dinner groceries
80.00,2,2024-08-13,Show
40.00,4,2024-08-13,Fuel
20.80,1,2024-08-14,Breakfast
60.00,2,2024-08-14,Snack
10.00,4,2024-08-14,Parking
160.00,1,2024-08-15,Weekend groceries
110.00,2,2024-08-15,Activity
30.00,3,2024-08-15,Small appliance
20.00,4,2024-08-15,Toll
50.50,1,2024-08-16,Snacks
180.00,2,2024-08-16,Dinner out
70.00,4,2024-08-16,Ride
95.00,1,2024-08-17,Weekly groceries
35.00,2,2024-08-17,Drink
15.00,4,2024-08-17,Metro
60.30,1,2024-08-18,Lunch
25.00,2,2024-08-18,Coffee
10.00,4,2024-08-18,Bus
75.00,1,2024-08-19,Dinner groceries
90.00,2,2024-08-19,Movie night
45.00,4,2024-08-19,Fuel top up
22.50,1,2024-08-20,Breakfast
50.00,2,2024-08-20,Game
10.00,4,2024-08-20,Parking
170.00,1,2024-08-21,Weekend groceries
100.00,2,2024-08-21,Outing
40.00,3,2024-08-21,Decoration
20.00,4,2024-08-21,Toll
45.75,1,2024-08-22,Snacks
160.00,2,2024-08-22,Concert
60.00,4,2024-08-22,Ride share
85.00,1,2024-08-23,Weekly groceries
30.00,2,2024-08-23,Drink
15.00,4,2024-08-23,Metro
65.10,1,2024-08-24,Lunch
20.00,2,2024-08-24,Coffee
10.00,4,2024-08-24,Bus
72.00,1,2024-08-25,Dinner groceries
100.00,2,2024-08-25,Event
50.00,4,2024-08-25,Fuel
28.50,1,2024-08-26,Breakfast items
55.00,2,2024-08-26,Arcade
10.00,4,2024-08-26,Parking
190.00,1,2024-08-27,Weekend groceries
120.00,2,2024-08-27,Activity
35.00,3,2024-08-27,Tool
20.00,4,2024-08-27,Toll
55.25,1,2024-08-28,Snacks
170.00,2,2024-08-28,Dinner out
65.00,4,2024-08-28,Ride
90.00,1,2024-08-29,Weekly groceries
25.00,2,2024-08-29,Drink
15.00,4,2024-08-29,Metro
62.30,1,2024-08-30,Lunch
35.00,2,2024-08-30,Coffee
10.00,4,2024-08-30,Bus
78.00,1,2024-08-31,Dinner groceries
110.00,2,2024-08-31,Show
40.00,4,2024-08-31,Fuel top up
21.50,1,2024-09-01,Breakfast
58.00,2,2024-09-01,Game
10.00,4,2024-09-01,Parking
185.00,1,2024-09-02,Weekend groceries
105.00,2,2024-09-02,Outing
45.00,3,2024-09-02,Plant
20.00,4,2024-09-02,Toll
52.75,1,2024-09-03,Snacks
155.00,2,2024-09-03,Concert
75.00,4,2024-09-03,Ride share
92.00,1,2024-09-04,Weekly groceries
28.00,2,2024-09-04,Drink
15.00,4,2024-09-04,Metro
68.10,1,2024-09-05,Lunch
22.00,2,2024-09-05,Coffee
10.00,4,2024-09-05,Bus
73.00,1,2024-09-06,Dinner groceries
95.00,2,2024-09-06,Movie night
38.00,4,2024-09-06,Fuel
23.50,1,2024-09-07,Breakfast items
52.00,2,2024-09-07,Arcade
10.00,4,2024-09-07,Parking
175.00,1,2024-09-08,Weekend groceries
115.00,2,2024-09-08,Activity
32.00,3,2024-09-08,Decor
20.00,4,2024-09-08,Toll
48.75,1,2024-09-09,Snacks
165.00,2,2024-09-09,Dinner out
72.00,4,2024-09-09,Ride
98.00,1,2024-09-10,Weekly groceries
26.00,2,2024-09-10,Drink
15.00,4,2024-09-10,Metro
63.40,1,2024-09-11,Lunch
32.00,2,2024-09-11,Coffee
10.00,4,2024-09-11,Bus
77.00,1,2024-09-12,Dinner groceries
105.00,2,2024-09-12,Show
42.00,4,2024-09-12,Fuel top up
20.50,1,2024-09-13,Breakfast
56.00,2,2024-09-13,Game
10.00,4,2024-09-13,Parking
180.00,1,2024-09-14,Weekend groceries
125.00,2,2024-09-14,Outing
38.00,3,2024-09-14,Tool
20.00,4,2024-09-14,Toll
51.25,1,2024-09-15,Snacks
175.00,2,2024-09-15,Concert
68.00,4,2024-09-15,Ride share
93.00,1,2024-09-16,Weekly groceries
29.00,2,2024-09-16,Drink
15.00,4,2024-09-16,Metro
66.70,1,2024-09-17,Lunch
24.00,2,2024-09-17,Coffee
10.00,4,2024-09-17,Bus
79.00,1,2024-09-18,Dinner groceries
98.00,2,2024-09-18,Movie night
35.00,4,2024-09-18,Fuel
21.50,1,2024-09-19,Breakfast items
54.00,2,2024-09-19,Arcade
10.00,4,2024-09-19,Parking
195.00,1,2024-09-20,Weekend groceries
130.00,2,2024-09-20,Activity
42.00,3,2024-09-20,Plant
20.00,4,2024-09-20,Toll
49.75,1,2024-09-21,Snacks
185.00,2,2024-09-21,Dinner out
78.00,4,2024-09-21,Ride
96.00,1,2024-09-22,Weekly groceries
27.00,2,2024-09-22,Drink
15.00,4,2024-09-22,Metro
61.90,1,2024-09-23,Lunch
33.00,2,2024-09-23,Coffee
10.00,4,2024-09-23,Bus
76.00,1,2024-09-24,Dinner groceries
108.00,2,2024-09-24,Show
48.00,4,2024-09-24,Fuel top up
24.50,1,2024-09-25,Breakfast
59.00,2,2024-09-25,Game
10.00,4,2024-09-25,Parking
170.00,1,2024-09-26,Weekend groceries
118.00,2,2024-09-26,Outing
35.00,3,2024-09-26,Decor
20.00,4,2024-09-26,Toll
53.25,1,2024-09-27,Snacks
190.00,2,2024-09-27,Concert
70.00,4,2
